a,ɥʕ
giệm,ɪɽʘʄ
giện,ɪɽʘʇ
giệng,ɪɽʘʌ
giệnh,ɪɽʘʉ
giệp,ɪɽʍʐʃ
giệt,ɪɽʘʆ
giệu,ɪɽʘʅ
giọ,ɪɽʗ
giọc,ɪɽʗʋ
giọi,ɪɽʗʊ
giọm,ɪɽʗʄ
giọn,ɪɽʗʇ
giọng,ɪɽʗʌ
giọp,ɪɽʗʃ
giọt,ɪɽʗʆ
giỏ,ɨɽʗ
giỏi,ɨɽʗʊ
giỏm,ɨɽʗʄ
giỏn,ɨɽʗʇ
giỏng,ɨɽʗʌ
giố,ɦɽʓ
giốc,ɦɽʓʋ
giối,ɦɽʓʊ
giốm,ɦɽʓʄ
giốn,ɦɽʓʇ
giống,ɦɽʓʌ
giốp,ɦɽʓʃ
giốt,ɦɽʓʆ
giồ,ɧɽʓ
giồi,ɧɽʓʊ
giồm,ɧɽʓʄ
giồn,ɧɽʓʇ
giồng,ɧɽʓʌ
giổ,ɨɽʓ
giổi,ɨɽʓʊ
giổm,ɨɽʓʄ
giổn,ɨɽʓʇ
giổng,ɨɽʓʌ
giỗ,ɩɽʓ
giỗi,ɩɽʓʊ
giỗm,ɩɽʓʄ
giỗn,ɩɽʓʇ
giỗng,ɩɽʓʌ
giộ,ɪɽʓ
giộc,ɪɽʓʋ
giội,ɪɽʓʊ
giộm,ɪɽʓʄ
giộn,ɪɽʓʇ
giộng,ɪɽʓʌ
giộp,ɪɽʓʃ
giột,ɪɽʓʆ
giớ,ɦɽʑ
giới,ɦɽʑʊ
giớm,ɦɽʑʄ
giớn,ɦɽʑʇ
giớp,ɦɽʑʃ
giớt,ɦɽʑʆ
giờ,ɧɽʑ
giời,ɧɽʑʊ
giờm,ɧɽʑʄ
giờn,ɧɽʑʇ
giở,ɨɽʑ
giởi,ɨɽʑʊ
giởm,ɨɽʑʄ
giởn,ɨɽʑʇ
giỡ,ɩɽʑ
giỡi,ɩɽʑʊ
giỡm,ɩɽʑʄ
giỡn,ɩɽʑʇ
giợ,ɪɽʑ
giợi,ɪɽʑʊ
giợm,ɪɽʑʄ
giợn,ɪɽʑʇ
giợp,ɪɽʑʃ
giợt,ɪɽʑʆ
giụ,ɪɽʏ
giụa,ɪɽʚ
giục,ɪɽʏʋ
giụi,ɪɽʏʊ
giụm,ɪɽʏʄ
giụn,ɪɽʏʇ
giụng,ɪɽʏʌ
giụp,ɪɽʏʃ
giụt,ɪɽʏʆ
giủ,ɨɽʏ
giủa,ɨɽʚ
giủi,ɨɽʏʊ
giủm,ɨɽʏʄ
giủn,ɨɽʏʇ
giủng,ɨɽʏʌ
giứ,ɦɽʎ
giứa,ɦɽʙ
giức,ɦɽʎʋ
giứi,ɦɽʎʊ
giứm,ɦɽʎʄ
giứn,ɦɽʎʇ
giứng,ɦɽʎʌ
giứt,ɦɽʎʆ
giứu,ɦɽʎʅ
giừ,ɧɽʎ
giừa,ɧɽʙ
giừi,ɧɽʎʊ
giừm,ɧɽʎʄ
giừn,ɧɽʎʇ
giừng,ɧɽʎʌ
giừu,ɧɽʎʅ
giử,ɨɽʎ
giửa,ɨɽʙ
giửi,ɨɽʎʊ
giửm,ɨɽʎʄ
giửn,ɨɽʎʇ
giửng,ɨɽʎʌ
giửu,ɨɽʎʅ
giữ,ɩɽʎ
giữa,ɩɽʙ
giữi,ɩɽʎʊ
giữm,ɩɽʎʄ
giữn,ɩɽʎʇ
giững,ɩɽʎʌ
giữu,ɩɽʎʅ
giự,ɪɽʎ
giựa,ɪɽʙ
giực,ɪɽʎʋ
giựi,ɪɽʎʊ
giựm,ɪɽʎʄ
giựn,ɪɽʎʇ
giựng,ɪɽʎʌ
giựt,ɪɽʎʆ
giựu,ɪɽʎʅ
giỳ,ɧɽʍ
giỵ,ɪɽʍ
giỷ,ɨɽʍ
giỹ,ɩɽʍ
go,ɥʁʗ
goa,ɥʁɮʕ
goai,ɥʁɮʕʊ
goam,ɥʁɮʕʄ
goan,ɥʁɮʕʇ
goang,ɥʁɮʕʌ
goanh,ɥʁɮʕʉ
goao,ɥʁɮʕʅ
goay,ɥʁɮʖʊ
goe,ɥʁɮʔ
goem,ɥʁɮʔʄ
goen,ɥʁɮʔʇ
goeo,ɥʁɮʔʅ
goi,ɥʁʗʊ
gom,ɥʁʗʄ
gon,ɥʁʗʇ
gong,ɥʁʗʌ
goong,goong
goà,ɧʁɮʕ
goài,ɧʁɮʕʊ
goàm,ɧʁɮʕʄ
goàn,ɧʁɮʕʇ
goàng,ɧʁɮʕʌ
goành,ɧʁɮʕʉ
goào,ɧʁɮʕʅ
goày,ɧʁɮʖʊ
goá,ɦʁɮʕ
goác,ɦʁɮʕʋ
goách,ɦʁɮʕʈ
goái,ɦʁɮʕʊ
goám,ɦʁɮʕʄ
goán,ɦʁɮʕʇ
goáng,ɦʁɮʕʌ
goánh,ɦʁɮʕʉ
goáo,ɦʁɮʕʅ
goáp,ɦʁɮʕʃ
goát,ɦʁɮʕʆ
goáy,ɦʁɮʖʊ
goã,ɩʁɮʕ
goãi,ɩʁɮʕʊ
goãm,ɩʁɮʕʄ
goãn,ɩʁɮʕʇ
goãng,ɩʁɮʕʌ
goãnh,ɩʁɮʕʉ
goão,ɩʁɮʕʅ
goãy,ɩʁɮʖʊ
goè,ɧʁɮʔ
goèm,ɧʁɮʔʄ
goèn,ɧʁɮʔʇ
goèo,ɧʁɮʔʅ
goé,ɦʁɮʔ
goém,ɦʁɮʔʄ
goén,ɦʁɮʔʇ
goéo,ɦʁɮʔʅ
goét,ɦʁɮʔʆ
goòng,goòng
goóc,goóc
goóng,goóng
goõng,goõng
goăm,ɥʁɮʖʄ
goăn,ɥʁɮʖʇ
goăng,ɥʁɮʖʌ
goạ,ɪʁɮʕ
goạc,ɪʁɮʕʋ
goạch,ɪʁɮʕʈ
goại,ɪʁɮʕʊ
goạm,ɪʁɮʕʄ
goạn,ɪʁɮʕʇ
goạng,ɪʁɮʕʌ
goạnh,ɪʁɮʕʉ
goạo,ɪʁɮʕʅ
goạp,ɪʁɮʕʃ
goạt,ɪʁɮʕʆ
goạy,ɪʁɮʖʊ
goả,ɨʁɮʕ
goải,ɨʁɮʕʊ
goảm,ɨʁɮʕʄ
goản,ɨʁɮʕʇ
goảng,ɨʁɮʕʌ
goảnh,ɨʁɮʕʉ
goảo,ɨʁɮʕʅ
goảy,ɨʁɮʖʊ
goắc,ɦʁɮʖʋ
goắm,ɦʁɮʖʄ
goắn,ɦʁɮʖʇ
goắng,ɦʁɮʖʌ
goắt,ɦʁɮʖʆ
goằm,ɧʁɮʖʄ
goằn,ɧʁɮʖʇ
goằng,ɧʁɮʖʌ
goẳm,ɨʁɮʖʄ
goẳn,ɨʁɮʖʇ
goẳng,ɨʁɮʖʌ
goẵm,ɩʁɮʖʄ
goẵn,ɩʁɮʖʇ
goẵng,ɩʁɮʖʌ
goặc,ɪʁɮʖʋ
goặm,ɪʁɮʖʄ
goặn,ɪʁɮʖʇ
goặng,ɪʁɮʖʌ
goặt,ɪʁɮʖʆ
goẹ,ɪʁɮʔ
goẹm,ɪʁɮʔʄ
goẹn,ɪʁɮʔʇ
goẹo,ɪʁɮʔʅ
goẹt,ɪʁɮʔʆ
goẻ,ɨʁɮʔ
goẻm,ɨʁɮʔʄ
goẻn,ɨʁɮʔʇ
goẻo,ɨʁɮʔʅ
goẽ,ɩʁɮʔ
goẽm,ɩʁɮʔʄ
goẽn,ɩʁɮʔʇ
goẽo,ɩʁɮʔʅ
goọc,goọc
goọng,goọng
goỏng,goỏng
gu,ɥʁʏ
gua,ɥʁʚ
gui,ɥʁʏʊ
gum,ɥʁʏʄ
gun,ɥʁʏʇ
gung,ɥʁʏʌ
guy,ɥʁɮʍ
guya,ɥʁɮʘ
guyn,ɥʁɮʍʇ
guynh,ɥʁɮʍʉ
guyu,ɥʁɮʍʅ
guyên,ɥʁɮʘʇ
guyến,ɦʁɮʘʇ
guyết,ɦʁɮʘʆ
guyền,ɧʁɮʘʇ
guyển,ɨʁɮʘʇ
guyễn,ɩʁɮʘʇ
guyện,ɪʁɮʘʇ
guyệt,ɪʁɮʘʆ
guân,ɥʁɮʒʇ
guâng,ɥʁɮʒʌ
guây,ɥʁɮʒʊ
guê,ɥʁɮʐ
guênh,ɥʁɮʐʉ
guôi,ɥʁʚʊ
guôm,ɥʁʚʄ
guôn,ɥʁʚʇ
guông,ɥʁʚʌ
guý,ɦʁɮʍ
guýa,ɦʁɮʘ
guých,ɦʁɮʍʈ
guýn,ɦʁɮʍʇ
guýnh,ɦʁɮʍʉ
guýp,ɦʁɮʍʃ
guýt,ɦʁɮʍʆ
guýu,ɦʁɮʍʅ
guơ,ɥʁɮʑ
guấn,ɦʁɮʒʇ
guấng,ɦʁɮʒʌ
guất,ɦʁɮʒʆ
guấy,ɦʁɮʒʊ
guần,ɧʁɮʒʇ
guầng,ɧʁɮʒʌ
guầy,ɧʁɮʒʊ
guẩn,ɨʁɮʒʇ
guẩng,ɨʁɮʒʌ
guẩy,ɨʁɮʒʊ
guẫn,ɩʁɮʒʇ
guẫng,ɩʁɮʒʌ
guẫy,ɩʁɮʒʊ
guận,ɪʁɮʒʇ
guậng,ɪʁɮʒʌ
guật,ɪʁɮʒʆ
guậy,ɪʁɮʒʊ
guế,ɦʁɮʐ
guếch,ɦʁɮʐʈ
guếnh,ɦʁɮʐʉ
guề,ɧʁɮʐ
guềnh,ɧʁɮʐʉ
guể,ɨʁɮʐ
guểnh,ɨʁɮʐʉ
guễ,ɩʁɮʐ
guễnh,ɩʁɮʐʉ
guệ,ɪʁɮʐ
guệch,ɪʁɮʐʈ
guệnh,ɪʁɮʐʉ
guốc,ɦʁʚʋ
guối,ɦʁʚʊ
guốm,ɦʁʚʄ
guốn,ɦʁʚʇ
guống,ɦʁʚʌ
guốp,ɦʁʚʃ
guốt,ɦʁʚʆ
guồi,ɧʁʚʊ
guồm,ɧʁʚʄ
guồn,ɧʁʚʇ
guồng,ɧʁʚʌ
guổi,ɨʁʚʊ
guổm,ɨʁʚʄ
guổn,ɨʁʚʇ
guổng,ɨʁʚʌ
guỗi,ɩʁʚʊ
guỗm,ɩʁʚʄ
guỗn,ɩʁʚʇ
guỗng,ɩʁʚʌ
guộc,ɪʁʚʋ
guội,ɪʁʚʊ
guộm,ɪʁʚʄ
guộn,ɪʁʚʇ
guộng,ɪʁʚʌ
guộp,ɪʁʚʃ
guột,ɪʁʚʆ
guớ,ɦʁɮʑ
guờ,ɧʁɮʑ
guở,ɨʁɮʑ
guỡ,ɩʁɮʑ
guợ,ɪʁɮʑ
guỳ,ɧʁɮʍ
guỳa,ɧʁɮʘ
guỳn,ɧʁɮʍʇ
guỳnh,ɧʁɮʍʉ
guỳu,ɧʁɮʍʅ
guỵ,ɪʁɮʍ
guỵa,ɪʁɮʘ
guỵch,ɪʁɮʍʈ
guỵn,ɪʁɮʍʇ
guỵnh,ɪʁɮʍʉ
guỵp,ɪʁɮʍʃ
guỵt,ɪʁɮʍʆ
guỵu,ɪʁɮʍʅ
guỷ,ɨʁɮʍ
guỷa,ɨʁɮʘ
guỷn,ɨʁɮʍʇ
guỷnh,ɨʁɮʍʉ
guỷu,ɨʁɮʍʅ
guỹ,ɩʁɮʍ
guỹa,ɩʁɮʘ
guỹn,ɩʁɮʍʇ
guỹnh,ɩʁɮʍʉ
guỹu,ɩʁɮʍʅ
gà,ɧʁʕ
gài,ɧʁʕʊ
gàm,ɧʁʕʄ
gàn,ɧʁʕʇ
gàng,ɧʁʕʌ
gành,ɧʁʕʉ
gào,ɧʁʕʅ
gàu,ɧʁʖʅ
gày,ɧʁʖʊ
gá,ɦʁʕ
gác,ɦʁʕʋ
gách,ɦʁʕʈ
gái,ɦʁʕʊ
gám,ɦʁʕʄ
gán,ɦʁʕʇ
gáng,ɦʁʕʌ
gánh,ɦʁʕʉ
gáo,ɦʁʕʅ
gáp,ɦʁʕʃ
gát,ɦʁʕʆ
gáu,ɦʁʖʅ
gáy,ɦʁʖʊ
gâm,ɥʁʒʄ
gân,ɥʁʒʇ
gâng,ɥʁʒʌ
gâu,ɥʁʒʅ
gây,ɥʁʒʊ
gã,ɩʁʕ
gãi,ɩʁʕʊ
gãm,ɩʁʕʄ
gãn,ɩʁʕʇ
gãng,ɩʁʕʌ
gãnh,ɩʁʕʉ
gão,ɩʁʕʅ
gãu,ɩʁʖʅ
gãy,ɩʁʖʊ
gì,ɧɽʍ
gìa,ɧɽʘ
gìm,ɧɽʍʄ
gìn,ɧɽʍʇ
gình,ɧɽʍʉ
gìu,ɧɽʍʅ
gí,ɦɽʍ
gía,ɦɽʘ
gích,ɦɽʍʈ
gím,ɦɽʍʄ
gín,ɦɽʍʇ
gính,ɦɽʍʉ
gíp,ɦɽʍʃ
gít,ɦɽʍʆ
gíu,ɦɽʍʅ
gò,ɧʁʗ
gòi,ɧʁʗʊ
gòm,ɧʁʗʄ
gòn,ɧʁʗʇ
gòng,ɧʁʗʌ
gó,ɦʁʗ
góc,ɦʁʗʋ
gói,ɦʁʗʊ
góm,ɦʁʗʄ
gón,ɦʁʗʇ
góng,ɦʁʗʌ
góp,ɦʁʗʃ
gót,ɦʁʗʆ
gô,ɥʁʓ
gôi,ɥʁʓʊ
gôm,ɥʁʓʄ
gôn,ɥʁʓʇ
gông,ɥʁʓʌ
gõ,ɩʁʗ
gõi,ɩʁʗʊ
gõm,ɩʁʗʄ
gõn,ɩʁʗʇ
gõng,ɩʁʗʌ
gù,ɧʁʏ
gùa,ɧʁʚ
gùi,ɧʁʏʊ
gùm,ɧʁʏʄ
gùn,ɧʁʏʇ
gùng,ɧʁʏʌ
gú,ɦʁʏ
gúa,ɦʁʚ
gúc,ɦʁʏʋ
gúi,ɦʁʏʊ
gúm,ɦʁʏʄ
gún,ɦʁʏʇ
gúng,ɦʁʏʌ
gúp,ɦʁʏʃ
gút,ɦʁʏʆ
găm,ɥʁʖʄ
găn,ɥʁʖʇ
găng,ɥʁʖʌ
gĩ,ɩɽʍ
gĩa,ɩɽʘ
gĩm,ɩɽʍʄ
gĩn,ɩɽʍʇ
gĩnh,ɩɽʍʉ
gĩu,ɩɽʍʅ
gũ,ɩʁʏ
gũa,ɩʁʚ
gũi,ɩʁʏʊ
gũm,ɩʁʏʄ
gũn,ɩʁʏʇ
gũng,ɩʁʏʌ
gơ,ɥʁʑ
gơi,ɥʁʑʊ
gơm,ɥʁʑʄ
gơn,ɥʁʑʇ
gư,ɥʁʎ
gưa,ɥʁʙ
gưi,ɥʁʎʊ
gưm,ɥʁʎʄ
gưn,ɥʁʎʇ
gưng,ɥʁʎʌ
gưu,ɥʁʎʅ
gươi,ɥʁʙʊ
gươm,ɥʁʙʄ
gươn,ɥʁʙʇ
gương,ɥʁʙʌ
gươu,ɥʁʙʅ
gước,ɦʁʙʋ
gưới,ɦʁʙʊ
gướm,ɦʁʙʄ
gướn,ɦʁʙʇ
gướng,ɦʁʙʌ
gướp,ɦʁʙʃ
gướt,ɦʁʙʆ
gướu,ɦʁʙʅ
gười,ɧʁʙʊ
gườm,ɧʁʙʄ
gườn,ɧʁʙʇ
gường,ɧʁʙʌ
gườu,ɧʁʙʅ
gưởi,ɨʁʙʊ
gưởm,ɨʁʙʄ
gưởn,ɨʁʙʇ
gưởng,ɨʁʙʌ
gưởu,ɨʁʙʅ
gưỡi,ɩʁʙʊ
gưỡm,ɩʁʙʄ
gưỡn,ɩʁʙʇ
gưỡng,ɩʁʙʌ
gưỡu,ɩʁʙʅ
gược,ɪʁʙʋ
gượi,ɪʁʙʊ
gượm,ɪʁʙʄ
gượn,ɪʁʙʇ
gượng,ɪʁʙʌ
gượp,ɪʁʙʃ
gượt,ɪʁʙʆ
gượu,ɪʁʙʅ
gạ,ɪʁʕ
gạc,ɪʁʕʋ
gạch,ɪʁʕʈ
gại,ɪʁʕʊ
gạm,ɪʁʕʄ
gạn,ɪʁʕʇ
gạng,ɪʁʕʌ
gạnh,ɪʁʕʉ
gạo,ɪʁʕʅ
gạp,ɪʁʕʃ
gạt,ɪʁʕʆ
gạu,ɪʁʖʅ
gạy,ɪʁʖʊ
gả,ɨʁʕ
gải,ɨʁʕʊ
gảm,ɨʁʕʄ
gản,ɨʁʕʇ
gảng,ɨʁʕʌ
gảnh,ɨʁʕʉ
gảo,ɨʁʕʅ
gảu,ɨʁʖʅ
gảy,ɨʁʖʊ
gấc,ɦʁʒʋ
gấm,ɦʁʒʄ
gấn,ɦʁʒʇ
gấng,ɦʁʒʌ
gấp,ɦʁʒʃ
gất,ɦʁʒʆ
gấu,ɦʁʒʅ
gấy,ɦʁʒʊ
gầm,ɧʁʒʄ
gần,ɧʁʒʇ
gầng,ɧʁʒʌ
gầu,ɧʁʒʅ
gầy,ɧʁʒʊ
gẩm,ɨʁʒʄ
gẩn,ɨʁʒʇ
gẩng,ɨʁʒʌ
gẩu,ɨʁʒʅ
gẩy,ɨʁʒʊ
gẫm,ɩʁʒʄ
gẫn,ɩʁʒʇ
gẫng,ɩʁʒʌ
gẫu,ɩʁʒʅ
gẫy,ɩʁʒʊ
gậc,ɪʁʒʋ
gậm,ɪʁʒʄ
gận,ɪʁʒʇ
gậng,ɪʁʒʌ
gập,ɪʁʒʃ
gật,ɪʁʒʆ
gậu,ɪʁʒʅ
gậy,ɪʁʒʊ
gắc,ɦʁʖʋ
gắm,ɦʁʖʄ
gắn,ɦʁʖʇ
gắng,ɦʁʖʌ
gắp,ɦʁʖʃ
gắt,ɦʁʖʆ
gằm,ɧʁʖʄ
gằn,ɧʁʖʇ
gằng,ɧʁʖʌ
gẳm,ɨʁʖʄ
gẳn,ɨʁʖʇ
gẳng,ɨʁʖʌ
gẵm,ɩʁʖʄ
gẵn,ɩʁʖʇ
gẵng,ɩʁʖʌ
gặc,ɪʁʖʋ
gặm,ɪʁʖʄ
gặn,ɪʁʖʇ
gặng,ɪʁʖʌ
gặp,ɪʁʖʃ
gặt,ɪʁʖʆ
gỉ,ɨɽʍ
gỉa,ɨɽʘ
gỉm,ɨɽʍʄ
gỉn,ɨɽʍʇ
gỉnh,ɨɽʍʉ
gỉu,ɨɽʍʅ
gị,ɪɽʍ
gịa,ɪɽʘ
gịch,ɪɽʍʈ
gịm,ɪɽʍʄ
gịn,ɪɽʍʇ
gịnh,ɪɽʍʉ
gịp,ɪɽʍʃ
gịt,ɪɽʍʆ
gịu,ɪɽʍʅ
gọ,ɪʁʗ
gọc,ɪʁʗʋ
gọi,ɪʁʗʊ
gọm,ɪʁʗʄ
gọn,ɪʁʗʇ
gọng,ɪʁʗʌ
gọp,ɪʁʗʃ
gọt,ɪʁʗʆ
gỏ,ɨʁʗ
gỏi,ɨʁʗʊ
gỏm,ɨʁʗʄ
gỏn,ɨʁʗʇ
gỏng,ɨʁʗʌ
gố,ɦʁʓ
gốc,ɦʁʓʋ
gối,ɦʁʓʊ
gốm,ɦʁʓʄ
gốn,ɦʁʓʇ
gống,ɦʁʓʌ
gốp,ɦʁʓʃ
gốt,ɦʁʓʆ
gồ,ɧʁʓ
gồi,ɧʁʓʊ
gồm,ɧʁʓʄ
gồn,ɧʁʓʇ
gồng,ɧʁʓʌ
gổ,ɨʁʓ
gổi,ɨʁʓʊ
gổm,ɨʁʓʄ
gổn,ɨʁʓʇ
gổng,ɨʁʓʌ
gỗ,ɩʁʓ
gỗi,ɩʁʓʊ
gỗm,ɩʁʓʄ
gỗn,ɩʁʓʇ
gỗng,ɩʁʓʌ
gộ,ɪʁʓ
gộc,ɪʁʓʋ
gội,ɪʁʓʊ
gộm,ɪʁʓʄ
gộn,ɪʁʓʇ
gộng,ɪʁʓʌ
gộp,ɪʁʓʃ
gột,ɪʁʓʆ
gớ,ɦʁʑ
gới,ɦʁʑʊ
gớm,ɦʁʑʄ
gớn,ɦʁʑʇ
gớp,ɦʁʑʃ
gớt,ɦʁʑʆ
gờ,ɧʁʑ
gời,ɧʁʑʊ
gờm,ɧʁʑʄ
gờn,ɧʁʑʇ
gở,ɨʁʑ
gởi,ɨʁʑʊ
gởm,ɨʁʑʄ
gởn,ɨʁʑʇ
gỡ,ɩʁʑ
gỡi,ɩʁʑʊ
gỡm,ɩʁʑʄ
gỡn,ɩʁʑʇ
gợ,ɪʁʑ
gợi,ɪʁʑʊ
gợm,ɪʁʑʄ
gợn,ɪʁʑʇ
gợp,ɪʁʑʃ
gợt,ɪʁʑʆ
gụ,ɪʁʏ
gụa,ɪʁʚ
gục,ɪʁʏʋ
gụi,ɪʁʏʊ
gụm,ɪʁʏʄ
gụn,ɪʁʏʇ
gụng,ɪʁʏʌ
gụp,ɪʁʏʃ
gụt,ɪʁʏʆ
gủ,ɨʁʏ
gủa,ɨʁʚ
gủi,ɨʁʏʊ
gủm,ɨʁʏʄ
gủn,ɨʁʏʇ
gủng,ɨʁʏʌ
gứ,ɦʁʎ
gứa,ɦʁʙ
gức,ɦʁʎʋ
gứi,ɦʁʎʊ
gứm,ɦʁʎʄ
gứn,ɦʁʎʇ
gứng,ɦʁʎʌ
gứt,ɦʁʎʆ
gứu,ɦʁʎʅ
gừ,ɧʁʎ
gừa,ɧʁʙ
gừi,ɧʁʎʊ
gừm,ɧʁʎʄ
gừn,ɧʁʎʇ
gừng,ɧʁʎʌ
gừu,ɧʁʎʅ
gử,ɨʁʎ
gửa,ɨʁʙ
gửi,ɨʁʎʊ
gửm,ɨʁʎʄ
gửn,ɨʁʎʇ
gửng,ɨʁʎʌ
gửu,ɨʁʎʅ
gữ,ɩʁʎ
gữa,ɩʁʙ
gữi,ɩʁʎʊ
gữm,ɩʁʎʄ
gữn,ɩʁʎʇ
gững,ɩʁʎʌ
gữu,ɩʁʎʅ
gự,ɪʁʎ
gựa,ɪʁʙ
gực,ɪʁʎʋ
gựi,ɪʁʎʊ
gựm,ɪʁʎʄ
gựn,ɪʁʎʇ
gựng,ɪʁʎʌ
gựt,ɪʁʎʆ
gựu,ɪʁʎʅ
ha,ɥʂʕ
hai,ɥʂʕʊ
ham,ɥʂʕʄ
han,ɥʂʕʇ
hang,ɥʂʕʌ
hanh,ɥʂʕʉ
hao,ɥʂʕʅ
hau,ɥʂʖʅ
hay,ɥʂʖʊ
he,ɥʂʔ
hem,ɥʂʔʄ
hen,ɥʂʔʇ
heng,ɥʂʔʌ
heo,ɥʂʔʅ
hi,ɥʂʍ
hia,ɥʂʘ
him,ɥʂʍʄ
hin,ɥʂʍʇ
hinh,ɥʂʍʉ
hiu,ɥʂʍʅ
hiêm,ɥʂʘʄ
hiên,ɥʂʘʇ
hiêng,ɥʂʘʌ
hiêu,ɥʂʘʅ
hiếc,ɦʂʘʋ
hiếm,ɦʂʘʄ
hiến,ɦʂʘʇ
hiếng,ɦʂʘʌ
hiếp,ɦʂʍʐʃ
hiết,ɦʂʘʆ
hiếu,ɦʂʘʅ
hiềm,ɧʂʘʄ
hiền,ɧʂʘʇ
hiềng,ɧʂʘʌ
hiều,ɧʂʘʅ
hiểm,ɨʂʘʄ
hiển,ɨʂʘʇ
hiểng,ɨʂʘʌ
hiểu,ɨʂʘʅ
hiễm,ɩʂʘʄ
hiễn,ɩʂʘʇ
hiễng,ɩʂʘʌ
hiễu,ɩʂʘʅ
hiệc,ɪʂʘʋ
hiệm,ɪʂʘʄ
hiện,ɪʂʘʇ
hiệng,ɪʂʘʌ
hiệp,ɪʂʍʐʃ
hiệt,ɪʂʘʆ
hiệu,ɪʂʘʅ
ho,ɥʂʗ
hoa,ɥʂɮʕ
hoai,ɥʂɮʕʊ
hoam,ɥʂɮʕʄ
hoan,ɥʂɮʕʇ
hoang,ɥʂɮʕʌ
hoanh,ɥʂɮʕʉ
hoao,ɥʂɮʕʅ
hoay,ɥʂɮʖʊ
hoe,ɥʂɮʔ
hoem,ɥʂɮʔʄ
hoen,ɥʂɮʔʇ
hoeo,ɥʂɮʔʅ
hoi,ɥʂʗʊ
hom,ɥʂʗʄ
hon,ɥʂʗʇ
hong,ɥʂʗʌ
hoong,hoong
hoà,ɧʂɮʕ
hoài,ɧʂɮʕʊ
hoàm,ɧʂɮʕʄ
hoàn,ɧʂɮʕʇ
hoàng,ɧʂɮʕʌ
hoành,ɧʂɮʕʉ
hoào,ɧʂɮʕʅ
hoày,ɧʂɮʖʊ
hoá,ɦʂɮʕ
hoác,ɦʂɮʕʋ
hoách,ɦʂɮʕʈ
hoái,ɦʂɮʕʊ
hoám,ɦʂɮʕʄ
hoán,ɦʂɮʕʇ
hoáng,ɦʂɮʕʌ
hoánh,ɦʂɮʕʉ
hoáo,ɦʂɮʕʅ
hoáp,ɦʂɮʕʃ
hoát,ɦʂɮʕʆ
hoáy,ɦʂɮʖʊ
hoã,ɩʂɮʕ
hoãi,ɩʂɮʕʊ
hoãm,ɩʂɮʕʄ
hoãn,ɩʂɮʕʇ
hoãng,ɩʂɮʕʌ
hoãnh,ɩʂɮʕʉ
hoão,ɩʂɮʕʅ
hoãy,ɩʂɮʖʊ
hoè,ɧʂɮʔ
hoèm,ɧʂɮʔʄ
hoèn,ɧʂɮʔʇ
hoèo,ɧʂɮʔʅ
hoé,ɦʂɮʔ
hoém,ɦʂɮʔʄ
hoén,ɦʂɮʔʇ
hoéo,ɦʂɮʔʅ
hoét,ɦʂɮʔʆ
hoòng,hoòng
hoóc,hoóc
hoóng,hoóng
hoõng,hoõng
hoăm,ɥʂɮʖʄ
hoăn,ɥʂɮʖʇ
hoăng,ɥʂɮʖʌ
hoạ,ɪʂɮʕ
hoạc,ɪʂɮʕʋ
hoạch,ɪʂɮʕʈ
hoại,ɪʂɮʕʊ
hoạm,ɪʂɮʕʄ
hoạn,ɪʂɮʕʇ
hoạng,ɪʂɮʕʌ
hoạnh,ɪʂɮʕʉ
hoạo,ɪʂɮʕʅ
hoạp,ɪʂɮʕʃ
hoạt,ɪʂɮʕʆ
hoạy,ɪʂɮʖʊ
hoả,ɨʂɮʕ
hoải,ɨʂɮʕʊ
hoảm,ɨʂɮʕʄ
hoản,ɨʂɮʕʇ
hoảng,ɨʂɮʕʌ
hoảnh,ɨʂɮʕʉ
hoảo,ɨʂɮʕʅ
hoảy,ɨʂɮʖʊ
hoắc,ɦʂɮʖʋ
hoắm,ɦʂɮʖʄ
hoắn,ɦʂɮʖʇ
hoắng,ɦʂɮʖʌ
hoắt,ɦʂɮʖʆ
hoằm,ɧʂɮʖʄ
hoằn,ɧʂɮʖʇ
hoằng,ɧʂɮʖʌ
hoẳm,ɨʂɮʖʄ
hoẳn,ɨʂɮʖʇ
hoẳng,ɨʂɮʖʌ
hoẵm,ɩʂɮʖʄ
hoẵn,ɩʂɮʖʇ
hoẵng,ɩʂɮʖʌ
hoặc,ɪʂɮʖʋ
hoặm,ɪʂɮʖʄ
hoặn,ɪʂɮʖʇ
hoặng,ɪʂɮʖʌ
hoặt,ɪʂɮʖʆ
hoẹ,ɪʂɮʔ
hoẹm,ɪʂɮʔʄ
hoẹn,ɪʂɮʔʇ
hoẹo,ɪʂɮʔʅ
hoẹt,ɪʂɮʔʆ
hoẻ,ɨʂɮʔ
hoẻm,ɨʂɮʔʄ
hoẻn,ɨʂɮʔʇ
hoẻo,ɨʂɮʔʅ
hoẽ,ɩʂɮʔ
hoẽm,ɩʂɮʔʄ
hoẽn,ɩʂɮʔʇ
hoẽo,ɩʂɮʔʅ
hoọc,hoọc
hoọng,hoọng
hoỏng,hoỏng
hu,ɥʂʏ
hua,ɥʂʚ
hui,ɥʂʏʊ
hum,ɥʂʏʄ
hun,ɥʂʏʇ
hung,ɥʂʏʌ
huy,ɥʂɮʍ
huya,ɥʂɮʘ
huyn,ɥʂɮʍʇ
huynh,ɥʂɮʍʉ
huyu,ɥʂɮʍʅ
huyên,ɥʂɮʘʇ
huyến,ɦʂɮʘʇ
